the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000020737252C0000000E070624440,160000,0101000020110F0000F8FDAE588E555FC1AF0FBCBBA8FD5241,40.7690696716309,-73.7882766723633,Queens,A1,ALT 1 Enlargement,421712891,4134204,A1,6034,true,735,8/16/2019,8/15/2020 12:00,32-30,201 ST.,411,168 CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E610000000000000217B52C00000008072624440,992784,0101000020110F00002E99B86C4C645FC1AB363E8EAAFD5241,40.7691192626953,-73.9238891601562,Queens,NB,New Building,421382293,4006840,NB,6035,false,6708,8/8/2019,12/3/2019 12:00,27-34,27 STREET,401,GAVRIEL CONTRACTING CORP,RESIDENTIAL: APARTMENT HOUSES,4,7
0101000020E6100000000000E0306F52C00000002074624440,500000,0101000020110F00003ACCF14905505FC17D74C060ACFD5241,40.7691688537598,-73.7373580932617,Queens,A1,ALT 1 Enlargement,421740986,4169388,A1,6036,true,1373,7/22/2019,1/24/2020 12:00,250-21,NORTHERN BLVD.,411,SUPER POWER CONSTRUCTION,EDUCATIONAL,2,0
0101000020E610000000000060147B52C00000008074624440,1077884,0101000020110F0000F006D8FA36645FC19B5E68CCACFD5241,40.7691802978516,-73.9231185913086,Queens,NB,New Building,421235504,4006901,NB,6037,false,7283,10/28/2019,8/29/2020 12:00,27-21,27TH STREET,401,JOANNE'S CONSTRUCTION CO,RESIDENTIAL: APARTMENT HOUSES,4,8
0101000020E610000000000020F06F52C00000002075624440,59750,0101000020110F000078696E254A515FC12C92D57FADFD5241,40.7691993713379,-73.7490310668945,Queens,A1,ALT 1 Enlargement,421656817,4454885,A1,6038,true,2396,8/28/2019,4/16/2020 12:00,40-29,235TH STREET,411,IMPACT BUILDERS CORP,MERCANTILE,2,
0101000020E610000000000060437152C00000002077624440,595108,0101000020110F0000E1A97F658A535FC172E7FFBDAFFD5241,40.7692604064941,-73.7697372436523,Queens,NB,New Building,421951365,4858982,NB,6039,false,4021,7/24/2019,12/8/2019 12:00,35-17 A,215 ST,411,TGC CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000C0127B52C00000002078624440,1362784,0101000020110F0000C5DA393834645FC10D1F15DDB0FD5241,40.7692909240723,-73.9230194091797,Queens,NB,New Building,421244040,4006903,NB,6040,false,9208,7/8/2019,1/24/2020 12:00,27-15,27 ST.,401,DA HAI CONSTRUCTION INC,RESIDENTIAL: APARTMENT HOUSES,5,10
0101000020E610000000000020977D52C0000000C079624440,1075000,0101000020110F000007BC62C17A685FC1DAAB97AFB2FD5241,40.7693405151367,-73.9623489379883,Manhattan,A1,ALT 1 Enlargement,122831935,1042766,A1,6041,true,627,6/4/2019,1/1/2020 12:00,152,EAST 71ST STREET,108,MOMENTAS INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,1
0101000020E6100000000000E05F7D52C0000000C07A624440,80000,0101000020110F00003EDE60E81C685FC122FAACCEB3FD5241,40.7693710327148,-73.9589767456055,Manhattan,A1,ALT 1 Enlargement,121931320,1043983,A1,6042,true,286,5/9/2019,5/8/2020 12:00,237,EAST 72 ST,108,MARSIBILIO INC,RESIDENTIAL: APARTMENT HOUSES,5,4
0101000020E610000000000080FF7D52C0000000007E624440,110000,0101000020110F00000696FE0B2C695FC13C74B273B7FD5241,40.7694702148438,-73.9687194824219,Manhattan,A1,ALT 1 Enlargement,103122256,1041243,A1,6043,true,450,1/9/2019,12/31/2019 12:00,858,FIFTH AVENUE,108,TACONIC BUILDERS INC,RESID. BLDG - OLD CODE,19,79
